platform,library,primitive,algorithm,operation,mean_ns,allocs,test_class,test_method
Android,BouncyCastle,KEM,FrodoAes5,decaps,46092326,56,TestKemDecapsulationBc,benchmarkFrodoAes5Decapsulation
Android,BouncyCastle,KEM,FrodoShake3,decaps,22763183,42,TestKemDecapsulationBc,benchmarkFrodoShake3Decapsulation
Android,BouncyCastle,KEM,MlKem3,decaps,113199,345,TestKemDecapsulationBc,benchmarkMlKem3Decapsulation
Android,BouncyCastle,KEM,FrodoAes3,decaps,23860121,54,TestKemDecapsulationBc,benchmarkFrodoAes3Decapsulation
Android,BouncyCastle,KEM,Hqc5,decaps,41968099,3228,TestKemDecapsulationBc,benchmarkHqc5Decapsulation
Android,BouncyCastle,KEM,Hqc3,decaps,17770939,2088,TestKemDecapsulationBc,benchmarkHqc3Decapsulation
Android,BouncyCastle,KEM,FrodoShake5,decaps,43350972,43,TestKemDecapsulationBc,benchmarkFrodoShake5Decapsulation
Android,BouncyCastle,KEM,MlKem5,decaps,161044,359,TestKemDecapsulationBc,benchmarkMlKem5Decapsulation
Android,BouncyCastle,KEM,Hqc3,encaps,11878804,903,TestKemEncapsulationBc,benchmarkHqc3Encapsulation
Android,BouncyCastle,KEM,FrodoShake5,encaps,42749694,38,TestKemEncapsulationBc,benchmarkFrodoShake5Encapsulation
Android,BouncyCastle,KEM,MlKem5,encaps,127205,192,TestKemEncapsulationBc,benchmarkMlKem5Encapsulation
Android,BouncyCastle,KEM,FrodoAes5,encaps,48880412,51,TestKemEncapsulationBc,benchmarkFrodoAes5Encapsulation
Android,BouncyCastle,KEM,FrodoShake3,encaps,22080281,37,TestKemEncapsulationBc,benchmarkFrodoShake3Encapsulation
Android,BouncyCastle,KEM,MlKem3,encaps,89617,152,TestKemEncapsulationBc,benchmarkMlKem3Encapsulation
Android,BouncyCastle,KEM,FrodoAes3,encaps,24980238,49,TestKemEncapsulationBc,benchmarkFrodoAes3Encapsulation
Android,BouncyCastle,KEM,Hqc5,encaps,28288994,1416,TestKemEncapsulationBc,benchmarkHqc5Encapsulation
Android,BouncyCastle,KEM,FrodoShake3,keygen,21183736,7841,TestKemKeyGenerationBc,benchmarkFrodoShake3KeyGeneration
Android,BouncyCastle,KEM,MlKem3,keygen,92121,179,TestKemKeyGenerationBc,benchmarkMlKem3KeyGeneration
Android,BouncyCastle,KEM,FrodoAes3,keygen,23631073,7853,TestKemKeyGenerationBc,benchmarkFrodoAes3KeyGeneration
Android,BouncyCastle,KEM,Hqc5,keygen,14618930,41,TestKemKeyGenerationBc,benchmarkHqc5KeyGeneration
Android,BouncyCastle,KEM,Hqc3,keygen,6168828,41,TestKemKeyGenerationBc,benchmarkHqc3KeyGeneration
